id,name,area,salary,experience,description,key_skills,alternate_url
52067341,Lead Fullstack/Backend developer,Москва,800000,Более 6 лет,"<p>Мы — международная компания GoTayga (gotayga.tech/ ), специализирующаяся на разработке ПО для западноевропейских клиентов. Наша штаб-квартира находится в Берлине, а российские офисы - в Дубне и в Нижнем Новгороде.</p> <p><strong>Responibilities:</strong></p> <p>Our Customer is a European FinTech company building its neobank with a strong focus on investment instruments.</p> <p>They&#39;re scaling up to deliver the product for the go-live on the European market, and we&#39;re helping them with the development of the investment product.</p> <p>We&#39;re looking for a Lead Fullstack developer, who is an expert in backend development and understands the work logic and technology basics behind the Frontend.</p> <strong>Requirements:</strong> <ul> <li> <p>We&#39;re looking for Senior. Meaning that you can deliver solutions autonomously and make the right things in the right way. You know how to spend as minimum effort on the design as possible to combine the speed of the development with the maintainability and reliability of your code. Usually, it comes after appr <strong>5 years of experience</strong>, but we&#39;re not religious with it.</p> </li> <li> <p>You are very strong in <strong>Node.js </strong>and have at least a good understanding of <strong>NestJS</strong></p> </li> <li> <p>You understand how to work with <strong>React</strong> and <strong>GraphQL</strong>, and can also do simple things on the frontend. We don&#39;t expect you to deliver complex things, but the ability to deliver end-to-end makes a big difference in the speed and flexibility of the team</p> </li> <li> <p>We&#39;re also using <strong>PostgreSQL, Kafka, Terraform, Docker,</strong> and AWS. Nothing exotic, so we expect that you know it very well.</p> </li> <li> <p>The product architecture is based on <strong>microservices</strong>, so it&#39;s important that you have experience with it and understand appropriate design patterns.</p> </li> <li> <p>The whole team is international, we have people from all over the world there. So the project language is English. You don&#39;t have to be a Native-speaker, but you should be ready to speak to your colleagues during the daily meetings, communicate in chats and JIRA.</p> </li> <li> <p>Nice-to-have: you have experience in the domains like Banking, Insurance, Investments or any other fin-related area.</p> </li> </ul> <strong>Conditions:</strong> <ul> <li>Permanent role</li> <li>Fully remote</li> <li>Berlin time zone</li> <li>International company</li> </ul>","Node.js, JavaScript, GraphQL, React.js, Microservices, Английский язык, PostgreSQL",https://hh.ru/vacancy/52067341
54814552,Tech Lead / Architect Backend (Python),Москва,560000,Более 6 лет,"<p>A world-leading Gmail-based B2B SaaS solution is looking for a dedicated and creative Tech Lead / Architect Backend.</p> <p>Formed back in 2011, raised $4mln in the latest round with investments coming from VCs like Kae Capital and Kalaari Capital, the company has attracted the brightest talent from Amazon, Freshdesk, PwC, and others.</p> <p>The company serves more than 1500 enterprises worldwide - ranging from new-age unicorns to traditional enterprises. Companies like Canva, Vacasa, Flexport, Pluralsight, Oxford Business Group, and Upwork, among others, are powered by the solution.</p> <p>They are an engineering-focused team; they keep improving the tools, tests, processes, and technology. The company grew 40% y.o.y in the size of the development team, and currently, they are over 100 people strong and growing. They consider people their most significant asset and strive to build a culture where everyone acts as a CEO, displaying ownership in thought and action.</p> <p><strong>Responsibilities</strong>:</p> <ul> <li>Act as a role model for best system design practices in the company, and strive for reducing complexity and building simple and elegant systems;</li> <li>Act as a role model for ensuring code quality. Extensively participates in code reviews across various projects;</li> <li>Coaches all leads with code comments, documents, and presentations. Promotes the best coding and testing practices across the company;</li> <li>Partners with senior leadership to propose ways to improve team productivity and provide metrics to enable decision making;</li> <li>Deeply involved with all complex projects across the company and strives towards reducing uncertainty in them;</li> <li>Track record of assessing the fairly accurate expected time of arrival (ETA) for large &amp; complex projects and working with a team to meet these timelines with high confidence;</li> <li>Takes initiative beyond engineering to influence cross-functional partners and the business outcome;</li> <li>Builds an engineering environment that provides scope for innovation and regular experimentation;</li> <li>Actively participate in coaching engineering talent and hold them accountable for both systems and processes.</li> </ul> <p><strong>Requirements</strong>:</p> <ul> <li>You should have a minimum of 4 years of experience in an Architect role or a technical lead role and a total of 8 or more years of experience;</li> <li>Strong object-oriented skills, testing patterns and 3+ years of programming experience in Python;</li> <li>Expertise working with distributed systems;</li> <li>Good experience with Cloud platforms AWS or GCP;</li> <li>Experience with MySQL and NoSQL (transactional and non-transactional), database architecture, and schema design;</li> <li>Experience with mentoring junior developers and acting as an enabler to help them reach the next level;</li> <li>Experience building large-scale, high availability production web application infrastructure;</li> <li>Strong understanding of architectural principles for SaaS-based capabilities;</li> <li>Ability to navigate through a highly ambiguous problem statement and influence the team and the leadership towards the consensus and solution without any direct authority.</li> </ul> <p><strong>Benefits</strong>:</p> <ul> <li>Remote work;</li> <li>Paid vacations and sick leaves.</li> </ul>","Python, AWS, MySQL, NoSQL",https://hh.ru/vacancy/54814552
48889312,Python backend developer,Москва,500000,Более 6 лет,"<p><strong>Мы создаем уникальное всемирное мобильное приложение, в котором пользователи могут монетизировать свой контент и любые действия, привычные для других социальных сетей!</strong></p> <p><strong>Сейчас мы начинаем разрабатывать рекламный кабинет. Ищем опытного разработчика, кто сможет разобраться в ТЗ, разработать архитектуру приложения, начать разработку бэка активно взаимодействуя с фронтом. </strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка API</li> <li>Разработка высоконагруженных сервисов</li> <li>Взаимодействие с фронт-энд разработчиками для обсуждения интерфейса бекэнда</li> <li>Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности</li> <li>Написание юнит-тестов</li> <li>Code Review</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы с высоконагруженными проектами</li> <li>Знание docker</li> <li>Опыт работы с Postgresql, MongoDB</li> <li>Знание DDD</li> <li>python 3.7+</li> <li>Знание REST</li> <li>Навык написания юнит-тестов</li> <li>Знание асинхронных фреймворков (FastAPI, aiohttp)</li> </ul> <p><strong>Плюсом будет:</strong></p> <ul> <li>Опыт работы с AWS</li> <li>Опыт разработки метрик мониторинга приложений (prometheus)</li> <li>Знание GraphQL</li> <li>Знание стандарта OWASP ASVS</li> </ul> <strong>Условия:</strong> <ul> <li> <p>Работа в комфортной для тебя обстановке (офис, дом, берег Бали)</p> </li> <li> <p>Заработная плата растет вместе с развитием твоих навыков</p> </li> <li> <p>Наша команда- лучшие в своих направлениях! МЫ совместно отдыхаем, занимаемся спортом, выезжаем заграницу!</p> </li> <li> <p>Техника? Мощное железо, дополнительные мониторы, гаджеты и все, что тебе позволит тебе максимально эффективно работать</p> </li> <li> <p>Конкурентоспособные зарплаты + бенефиты, опционная программа</p> <p>(Оклад оговаривается с каждым кандидатом индивидуально)</p> </li> <li> <p>Сложные и интересные задачи в области высоконагруженных мобильных приложений</p> </li> <li> <p>Команда: работа бок о бок с крутыми специалистами из IT-индустрии со всего мира, каждый из которых готов поделиться своей экспертизой</p> </li> <li> <p>Профессиональное развитие: прямо в офисе мы организуем конференции, встречи разработчиков, семинары и тренинги, куда открыт доступ сотрудникам, обучение и повышение квалификации за счет компании</p> </li> <li> <p>Личностное развитие: наши сотрудники делятся своей экспертизой как во внутренних образовательных порталах, также участвуют во внешних конференциях, делятся своими впечатлениями в книжном клубе</p> </li> <li> <p>Здоровая корпоративная культура: корпоративы, фитнес, йога, выездные мероприятия, фрукты, соки, витамины для поддержания баланса организма.</p> </li> </ul>","Python, MongoDB, PostgreSQL, Docker, Креативность",https://hh.ru/vacancy/48889312
54675463,Senior Backend Developer (Node.js),Санкт-Петербург,480000,Более 6 лет,"<p>StreamLayer - это интерактивная медиа-компания нового поколения, поддерживаемая одним из ведущих венчурных спорттех фондов в США. Мы создаем красивые, элегантные и захватывающие решения связанные с трансляцией видео в прямом эфире со спортивных мероприятий. Мы мыслим масштабно и принимаем неординарные решения, что позволяет нам работать напрямую с мировыми лидерами в области технологий, спорта и телекоммуникаций.</p> <p>Мы ищем способных и любознательных инженеров, любящих работать в команде - ведь ваша работа лежит в основе всего что мы создаем. Мы хотим чтобы наши сотрудники были в восторге от сложных задач, которые мы решаем, и любили создавать инструменты, которые будут лежать в основе невероятных интерактивных возможностей в приложениях для мобильных телефонов, веба и смарт-тв. Вместе мы создадим и разовьем интерактивные видео технологии будущего для миллионов пользователей.</p> <p>В нашу команду, работающую над высоконагруженным интерактивным медиа сервисом, требуется Senior Backend Developer (Node.js). Наша команда работает удаленно из разных городов и стран, на своем примере показывая, что небольшая команда может развивать и поддерживать масштабные проекты.</p> <p>Мы уделяем особое внимание качеству нашего кода и применяемым практикам. Документация, TDD, semantic versioning, статический анализ, CI/CD -- ключевые параметры успешной работы.</p> <p><br />Во внутренних процессах мы делаем ставку на командную работу: верим, что чуткое взаимодействие улучшает результаты работы, развивает профессиональные навыки и эмоциональный интеллект. Вежливо и непринужденно общаемся, этично и без предрассудков. Приветствуем инициативу, прислушиваемся к сотрудникам.<br /><br />Ищем Javascript/Node.JS разработчика, который умеет работать в команде и разделяет наши ценности.</p> <p>С каким стеком вы будете работать:</p> <ul> <li> <p>Бэкенд: Node.js</p> </li> <li> <p>Девопс: Terraform, Consul, Docker, Kubernetes, Chef</p> </li> <li> <p>Клауд платформы: Google, Amazon</p> </li> </ul> <p> </p> <p>Как мы пишем код:</p> <ul> <li> <p>Разрабатываем архитектурные решения, которые выдерживают нагрузку в 50000 запросов в секунду</p> </li> <li> <p>Активно изучаем и внедряем новые технологии</p> </li> <li> <p>Регулярно обновляем зависимости в проектах, совершенствуем архитектуру</p> </li> </ul> <p> </p> <p>Вы очень нужны нам, если вы:</p> <ul> <li> <p>Умеете работать в команде</p> </li> <li> <p>У вас хорошо получается осваивать новую информацию – вы можете изучить и применить новые технологии, архитектурные решения</p> </li> <li> <p>Решаете бизнес-задачи с использованием JS на сервере и понимаете как работает event-loop</p> </li> <li> <p>Имеете опыт проектирования систем</p> </li> <li> <p>Практикуете DevOps или будете рады этому научиться</p> </li> <li> <p>Владеете английским на уровне чтения и написания документации</p> </li> </ul> <p>В дополнение к конкурентоспособной зарплате, мы предлагаем щедрый benefits package, который включает отпуск, ДМС, компенсацию за покупку компьютера, компенсация за co-working и бюджет на обучение.</p>","JavaScript, Node.js, Linux, Работа в команде, Design Patterns",https://hh.ru/vacancy/54675463
54522888,Backend Python Engineer - to Dubai,Москва,440000,Более 6 лет,"<p><strong>Job Responsibilities Will Include: </strong></p> <ul> <li><strong>A) If you join the CRM team: </strong> <ul> <li>Move to a new service, micro-service (From a monolith to new micro-service architecture)</li> <li>Integrate HubSpot</li> <li>Make sure all data can be consumed internally</li> <li>All of the back-office operations should be running on the CRM</li> </ul> </li> <li><strong>B) If you join the Platform Backend team: </strong> <ul> <li>Focus on scalability: implement micro-service architecture, scalable in the cloud</li> <li>Implement new tools for logging, tracing, and build message queue services</li> <li>Build new tools and SDKs that other teams in the company can re-use</li> </ul> </li> </ul> <p><strong>Benefits</strong></p> <p><strong>Relocation Support:</strong></p> <ul> <li>Visa support</li> <li>Relocation package to cover costs</li> </ul> <p><strong>Terms:</strong></p> <ul> <li>Employment in Dubai, UAE.</li> <li>There&#39;s no income tax so the salary is NETT.</li> <li>Full-time, long-term engagement.</li> <li>Desired start date as soon as possible.</li> <li>Remote work from outside of Dubai is not desired.</li> </ul> <p><strong>Tech Stack Includes:</strong></p> <ul> <li>BE: Python + Django</li> <li>FE: React.js + Next.js</li> <li>Mobile: React Native</li> <li>AWS + Kubernetes</li> </ul> <p><strong>Requirements</strong></p> <p><strong>Must-have Competencies:</strong></p> <p><strong>Fluent English</strong></p> <ul> <li><strong>Development:</strong> <ul> <li>4+ years experience with Python &amp; Django</li> <li>Experience with TDD / DDD (domain-driven design)</li> </ul> </li> <li><strong>Architecture:</strong> <ul> <li>Good understanding of scalable &amp; distributed architecture</li> <li>Can design micro-services in the cloud</li> <li>Knows how to design architecture that would be scalable and everything tested automatically</li> </ul> </li> </ul> <p><strong>Nice-to-have Skills:</strong></p> <ul> <li>Experience w/ 3rd party integrations</li> </ul>","Python, Django Framework, Английский язык, AWS, Django",https://hh.ru/vacancy/54522888
54815816,Senior Kotlin Developer (Backend),Санкт-Петербург,400000,Более 6 лет,"<p>Поможем с переездом в Санкт-Петербург и с арендой квартиры на первое время. Также будет возможность релокации в наш офис в Амстердаме.</p> <p><strong>Наши результаты:</strong></p> <ul> <li>Сбор, агрегация, аналитика и доставка большого количества торговых данных нашим пользователям с минимальными задержками;</li> <li>Бесперебойная работа в условиях непредсказуемой, стихийно растущей нагрузки;</li> <li>Прозрачное и горизонтальное взаимодействие команд. Бесшовная совместная работа привела к созданию одного из лучших торговых терминалов на рынке.</li> </ul> <p><strong>Наши задачи:</strong></p> <ul> <li>Создание и развитие API для команд клиентских приложений;</li> <li>Развитие инфраструктуры, готовой к 20-кратному росту сейчас и 100-кратному росту в будущем;</li> <li>Обеспечение повышенной надёжности всех систем;</li> </ul> <p><strong>Наш стек:</strong><br />Kotlin, AWS, PostgreSQL, Redis, ElasticSearch</p> <p><strong>Наши процессы:</strong><br />Minimal agile, code review, CI/CD, unit, integration, load tests</p> <p><strong>О Вас:</strong></p> <ul> <li>Опыт коммерческой разработки ПО: 5–10 лет</li> <li>Умение принимать самостоятельные решения: погружение в предметную область, построение модели, выбор инструментов и архитектуры, взаимодействие с командами разработки приложений, реализация и дальнейшее развитие</li> <li>Владение базовыми алгоритмами и структурами данных</li> <li>Опыт работы с многопоточностью и распределёнными системами</li> <li>Ответственность за качество и тестируемость кода</li> <li>Английский - не ниже intermediate</li> </ul> <p><strong>Задачи:</strong></p> <ul> <li>Создание и поддержка высоконагруженных систем</li> <li>Участие в планировании развития системы</li> <li>Постоянное улучшение технических и бизнес характеристик системы</li> <li>Развитие внутренних инструментов разработки</li> </ul> <p><strong>Мы боремся за то, чтобы стать по-настоящему лучшим работодателем в стране. У нас не будет тысячи сотрудников, зато десятки сотрудников будут хотеть каждый день приходить на работу.</strong></p> <p><strong>Условия:</strong></p> <ul> <li>Компенсация 90% любой медицинской процедуры в любой клинике, включая стоматологию (даже не экстренную), любые процедуры связанные со здоровьем в любом городе страны будут оплачены</li> <li>Полная компенсация расходов на повышение квалификации, включая конференции</li> <li>Бесплатное питание: обеды из любого ресторана в Яндекс.Доставке и Delivery Club</li> <li>Кухня с фруктами, напитками, здоровыми продуктами, шоколадом, итальянским кофе и т.д.</li> <li>Friday pizza and beer</li> <li>Раз в год летаем командой отдохнуть куда-нибудь за границу</li> <li>Бесплатный спорт-зал Skyfitness или компенсация 50% стоимости любого другого зала или спортивной секции</li> <li>Опционная программа: каждый сотрудник может стать совладельцем компании</li> <li>Dogs friendly &amp; baby friendly</li> <li>Тихая уютная рабочая зона, с личным пространством каждому</li> <li>Высокие окна с естественным светом</li> <li>Много растений, которые делают атмосферу уютной</li> <li>Зона отдыха с диванами и столовой</li> <li>Standing desks - столы с подъемными механизмами для работы стоя каждому</li> <li>Современные кресла</li> <li>15 минут от метро пешком и много парковочных мест</li> </ul>","Java, Kotlin, PostgreSQL, AWS, Redis, ElasticSearch, CI/CD, code review, load tests",https://hh.ru/vacancy/54815816
54767526,Back-End Web Developer,Москва,400000,Более 6 лет,"<p>Ищем<strong> Back End Developer</strong> на инновационный телемедицинский Medtech (eHealth) проект.</p> <p><strong>Что мы делаем? </strong></p> <p>Мы самый большой и единственный сертифицированный ISO 9001 международный сервис бронирования медицинских оздоровительных программ по всему миру в режиме онлайн. Наш продукт предоставляет своим клиентам возможность получить доступ к более чем 700 000 медицинских программ и более 5 000 лучших врачей Европы.</p> <p>Портал не предусматривает платного размещения и защищён от манипуляций.</p> <p>Мы гордимся тем, что выводим медицинский сектор на новый уровень по всему миру.</p> <p><strong>Перспективы и планы компании/продукта?</strong></p> <p>В планах привлечение к проекту максимального кол-ва клиник и врачей до 3-х миллионов. Нашей целью является расширение уникального трафика до 10 миллионов в день до 2023 года.</p> <p>Параллельно мы развиваем крупные телемедицинские порталы с рядом инновационных решений для пациентов и врачей.</p> <p><strong>Какие профессиональные навыки нам важны? </strong></p> <ul> <li> <p>5+ лет опыта в разработке</p> </li> <li> <p>5+ лет опыта работы с PHP 7, 8</p> </li> <li> <p>2+ лет опыта с node.js</p> </li> <li> <p>Опыт создания высоконагруженных приложений</p> </li> </ul> <p><strong>Было бы плюсом:</strong></p> <ul> <li> <p>NestJS</p> </li> <li> <p>Опыт работы с Linux, Nginx</p> </li> <li> <p>опыт работы с RabbitMQ, Kafka</p> </li> </ul> <p><strong>Что делать в проекте?</strong></p> <ul> <li> <p>разработка/руководство в проекте по созданию cross-platform application</p> </li> <li> <p>анализ требований, декомпозиция, оценка и планирование задач</p> </li> <li> <p>разработка Unit, Integration and Acceptance tests</p> </li> <li> <p>Code review, refactor</p> </li> </ul> <p> </p> <p><strong>По условиям:</strong></p> <ul> <li> <p>З/П 5000 €</p> </li> <li> <p>Помощь с переездом в Германию и предоставление жилья</p> </li> <li> <p>Официальное трудоустройство в Германии</p> </li> <li> <p>График работы: 5/2 (понедельник — пятница с 9.00 до 18.00)</p> </li> <li> <p>Прозрачная система мотивации (при соблюдении ДД &gt;=15% к зарплате)</p> </li> <li> <p>Медицинская страховка (при официальном трудоустройстве в Германии)</p> </li> <li> <p>Оплачиваемый отпуск 28 рабочих дней (через 6 месяцев после начала работы)</p> </li> </ul> <p> </p> <p><strong>Работа у нас — это:</strong></p> <ul> <li> <p>Уникальные технологические и инновационные проекты</p> </li> <li> <p>Получение опыта в современных практиках западного мира в области безопасности, масштабируемой архитектуры и т.д.</p> </li> <li> <p>Глубокие знания в сфере телемедицины</p> </li> <li> <p>Работа с Big data, highload, распределенные вычисления и шинами данных.</p> </li> <li> <p>Общественно важные проекты</p> </li> <li> <p>Возможность влиять как на технологические, так и на продуктовые решения</p> </li> <li> <p>Рентабельность и стабильность крупной европейской компании</p> </li> <li> <p>Активное участие в постоянном совершенствовании наших гибких процессов и инструментов</p> </li> </ul> <p> </p> <p><strong>Дальнейшие шаги следующие:</strong></p> <ul> <li> <p>Вы присылаете свое резюме на почту</p> </li> <li> <p>С Вами связывается руководитель проекта для личного собеседования</p> </li> <li> <p>По результатам собеседования Вас информируют о решении</p> </li> </ul>","Node.js, Linux, Nginx, Английский язык, MySQL, PHP, Laravel",https://hh.ru/vacancy/54767526
54225848,Tech Lead (Backend / DevOps),Москва,344000,Более 6 лет,"<p><strong>Skipp</strong> – стремительно растущий международный стартап. В ноябре 2021 года мы привлекли инвестиции от фаундеров SkyEng и ex-CEO DeliveryClub.</p> <p>Мы собираем продуктовые команды для проектов наших клиентов с нуля, подбираем специалистов в уже активные проекты и, благодаря мощной экспертизе в менеджменте разработки, помогаем создать крутой и качественный продукт.</p> <p>В числе наших постоянных клиентов такие крупные компании, как Ozon, Skyeng, X5 Retail Group и другие.</p> <p><strong>О работе:</strong></p> <p>На данный момент мы находимся в поиске <strong>Tech Lead (Backend + DevOps)</strong> в нашу внутреннюю команду.</p> <p><strong>Задачи:</strong></p> <ul> <li>Консультирование клиентов по архитектуре платформы;</li> <li>Разработка инфраструктурного программного обеспечения;</li> <li>Работа с микросервисами;</li> <li>Написание ТЗ, управление командой</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Полная удаленка - работай из любой точки мира;</li> <li>Гибкий график - работай в удобное для себя время, нам важен результат;</li> <li>Дружная молодая команда;</li> <li>Возможность релокации вместе с командой в другие страны на 2-3 месяца;</li> <li>Всегда мечтал поработать в Долине? С нами ты сможешь осуществить эту мечту;</li> <li>Стабильная оплата в любой валюте</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в качестве DevOps от 5 лет;</li> <li>Отличные знания Promox, Docker, Kubernetes, Git-lab, CI/CD;</li> <li>Опыт работы управления командой</li> </ul> <p><strong>Мы ждем тебя в нашей команде!</strong></p>","Docker, Английский язык, Работа с большим объемом информации, Kubernetes, CI/CD",https://hh.ru/vacancy/54225848
54165113,Senior Backend Developer (NodeJS),Москва,326000,Более 6 лет,"<p>Skipp – стремительно растущий международный стартап. В ноябре 2021 года мы привлекли инвестиции от фаундеров SkyEng и ex-CEO DeliveryClub.</p> <p>Мы собираем продуктовые команды для проектов наших клиентов с нуля, подбираем специалистов в уже активные проекты и, благодаря мощной экспертизе в менеджменте разработки, помогаем создать крутой и качественный продукт.</p> <p>В числе наших постоянных клиентов такие крупные компании, как Ozon, Skyeng, X5 Retail Group и другие.</p> <p><strong>О проекте:</strong></p> <p>Цифровая платформа по работе с видеоконтентом. Платформа создана для хранения, размещения, обработки и проигрывания видеоконтента.</p> <p>Помимо работы с видеоконтентом, данная платформа также направлена на обслуживание клиентов компании.</p> <p><strong>О работе:</strong></p> <p>Сегодня компания находится в поиске <strong>Senior Backend разработчика (NodeJS)</strong>.</p> <p><strong>Задачи:</strong></p> <ul> <li>Проектирование и разработка высоконагруженных микросервисов;</li> <li>Участие в развитии архитектуры системы;</li> <li>Технический анализ и тестирование</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Проекты от ведущих компаний РФ, Европы и США;</li> <li>Разносторонний опыт, который позволит быстро повысить грейд или попробовать себя в роли team lead;</li> <li>Полная удаленка - работай из любой точки мира;</li> <li>Гибкий график - работай в удобное для себя время, нам важен результат;</li> <li>Всегда мечтал поработать в Долине? С нами ты сможешь осуществить эту мечту;</li> <li>Стабильная оплата в любой валюте</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в качестве Backend разработчика (NodeJS) от 2-х лет;</li> <li>Знание микросервисной архитектуры;</li> <li>Понимание сетевых протоколов;</li> <li>Знание и опыт применения ООП, ФП, архитектурных паттернов приложения, SOLID, DRY;</li> <li>Опыт работы с базами данных SQL/NoSQL (Cassandra, Tarantool, ClickHouse);</li> <li>Наличие опыта работы с Kafka / RabbitMQ, Redis / Memcached / Tarantool;</li> <li>Опыт разработки unit-тестов;</li> <li>Опыт проведения ревью кода;</li> <li>Организованность и высокий уровень ответственности;</li> <li>Приветствуется наличие кода на GitHub</li> </ul> <p><strong>Мы ждем тебя в нашей команде!</strong></p>","SQL, Redis, ClickHouse, ООП, RabbitMQ",https://hh.ru/vacancy/54165113
54650390,Node.JS Backend Engineer (Remote),Москва,320000,Более 6 лет,"<p>StaffPick is looking for a full-time, remote, experienced backend engineer to join a gaming start-up based in <strong>Israel</strong></p> <p><br />Responsibilities:<br />- As a developer in the team you will take part of end to end development process:</p> <p>Design, Architect, Develop, Deliver and Deploy.<br />- Be responsible for our platform, architecture &amp; scale implementation.<br />- End to end development of features and systems (Backend)<br />- Take part in our R&amp;D team strategic growth - technology and process-wise.<br /><br />Requirements:<br /><br />Must<br />- 5+ years of experience in application design and development.<br />- Node.js experience<br />- Strong understanding and hands-on experience of Backend technologies and architecture.<br />- Hands-on experience with object-oriented programming, high-scale backend.<br />- Experience with NoSQL and key-value DB’s (e.g Redis / fire store).<br />- Experience in working with cloud-based architectures and AWS\Azure.<br />- Ability to carry requirements from early phase to full implementation.<br />- <strong>Fluent in English (written and verbal).</strong><br /><br />Advantage:<br />- Experience with Firebase.<br />- Background in Micro-services architecture.</p>","Redis, Английский язык, AWS, Azure, Node.js, Microservice, Английский язык (Upper-Intermediate)",https://hh.ru/vacancy/54650390
